


Нагрузка
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet8/12 --> НТГ Красноармейская 38 П3 (подвал), АВ, SW073-AR127-32.ntg, Ethernet0/0/52
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/6 --> НТГ Садовая 44 П3 Э6 (чердак), АВ, SW122-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/11 --> НТГ Невьянский переулок 3 П6 Э5 (лестничная площадка), АВ, SW081-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/15 --> НТГ Невьянский переулок 3 П3 Э5 (лестничная площадка), АВ, SW185-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/11 --> НТГ Красногвардейская 10 П3 Э5 (лестничная площадка), АВ, SW101-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/14 --> НТГ Красногвардейская 8 П3 Э5 (лестничная площадка), АВ, SW052-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/31 --> НТГ Красногвардейская 2 П1 Э13 (техэтаж), АВ, SW086-AR127-32.ntg, Ethernet1/26
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/15 --> НТГ Красногвардейская 8/а П3 (подвал), АВ, SW053-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet5/2 --> НТГ Красногвардейская 8/а П6 (подвал), АВ, SW056-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet9/1 --> НТГ Садовая 38 П2 Э6 (чердак), АВ, SW112-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/2 --> НТГ Садовая 38/А П3 Э6 (чердак), АВ, SW147-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/7 --> НТГ Заводская 5 П3 Э6 (техэтаж), АВ, SW034-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, TenGigabitEthernet10/6 --> НТГ Курортная 20 П2 Э-1 (подвал), УА, IAS002-AR129-32.ntg, Ethernet1/0/49
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/33 --> КАПАСИХА Береговая 39 П1, АВ, SW224-AR127-32.ntg, Ethernet1/49
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/15 --> НТГ Заводская 3 П2 Э6 (лестничная площадка), АВ, SW044-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/4 --> НТГ Красногвардейская 4 П3 Э5 (лестничная площадка), АВ, SW120-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/10 --> НТГ Садовая 12 П3 Э-1 (подвал), АВ, SW082-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/19 --> НТГ Кулибина 64 П1 Э2 (2 этаж помещения парковки), АВ, SW243-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/5 --> НТГ Садовая 8 П3 Э-1 (подвал), АВ, SW172-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/1 --> НТГ Садовая 14 П3 Э5 (лестничная площадка), АВ, SW130-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet9/3 --> НТГ Садовая 18 П1 Э-1 (подвал), АВ, SW142-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/8 --> НТГ Октябрьской Революции 7/а П1 Э10 (ТЭ), АВ, SW175-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/12 --> НТГ Заводская 80 П2 Э6 (чердак), АВ, SW102-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/15 --> НТГ Октябрьской Революции 1 П4 Э6 (чердак), АВ, SW140-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/9 --> НТГ Октябрьской Революции 5 П3 Э6 (чердак), АВ, SW125-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/25 --> НТГ Октябрьской Революции 3 П3 Э6 (чердак), АВ, SW247-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/5 --> НТГ Октябрьской Революции 24 П2 Э-1 (подвал), АВ, SW079-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/1 --> НТГ Октябрьской Революции 26 П3 Э-1 (подвал), АВ, SW119-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/10 --> НТГ Октябрьской Революции 28 П3 Э-1 (подвал), АВ, SW100-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/2 --> НТГ Октябрьской Революции 30 П3 Э-1 (подвал), АВ, SW117-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet5/16 --> НТГ Октябрьской Революции 32 П7 Э5 (лестничная площадка), АВ, SW111-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/3 --> НТГ Октябрьской Революции 32 П2 Э5 (Площадка), АВ, SW094-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/24 --> НТГ Октябрьской Революции 38 П1 Э1 (щитовая), АВ, SW216-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/3 --> НТГ Октябрьской Революции 36 П6 Э-1 (подвал), АВ, SW071-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/4 --> НТГ Октябрьской Революции 36 П3 Э-1 (подвал), АВ, SW072-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/10 --> НТГ Ленина 71 П17 (чердак), АВ, SW205-AR127-32.ntg, FastEthernet0/24
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/37 --> НТГ Ленина 71 П11 (чердак), АВ, SW208-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/9 --> НТГ Ленина 71 П5 (чердак), АВ, SW209-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/4 --> НТГ Ленина 71/А П2 (Чердак), АВ, SW087-AR127-32.ntg, Ethernet1/26
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/17 --> НТГ Мира 2/А П1 Э13 (ТЭ), АВ, SW227-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/1 --> НТГ Мира 6 П3 Э6 (чердак), АВ, SW069-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/24 --> НТГ Мира 6 П6 Э6 (чердак), АВ, SW246-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/6 --> НТГ Мира 4 П3 Э6 (чердак), АВ, SW173-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/6 --> НТГ Мира 8 П2 Э6 (чердак), АВ, SW036-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/16 --> НТГ Строителей 27 П3 Э5 (чердак), АВ, SW091-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/6 --> НТГ Строителей 27 П9 Э6 (чердак), АВ, SW080-AR127-32.ntg, FastEthernet0/24
ОВ для клиента, темное ОВ от Газетная 26 до Пархоменко 1а , клиент КК-85763  (УССИ ФСО России в УФО)  





Нагрузка
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/7 --> НТГ Строителей 27 П14 Э6 (чердак), АВ, SW078-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/11 --> НТГ Строителей 27 П18 Э6 (чердак), АВ, SW199-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, TenGigabitEthernet10/7 --> НТГ Вагоностроителей 18 П1 Э1 (квартира), РУА, AR121-07.ntg, TenGigabitEthernet9/3
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/12 --> НТГ Октябрьской Революции 19 П3 Э6 (чердак), АВ, SW127-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/7 --> НТГ Мира 16 П2 Э6 (чердак), АВ, SW195-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/12 --> НТГ Строителей 12 П2 Э6 (чердак), АВ, SW041-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet9/7 --> НТГ Строителей 16 П3 Э6 (чердак), АВ, SW143-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet2/14 --> НТГ Строителей 20 П2 Э6 (чердак), АВ, SW183-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/45 --> НТГ Ленина 60 П2 Э5 (чердак), АВ, SW240-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/15 --> НТГ Строителей 22 П2 Э6 (чердак), АВ, SW090-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/13 --> НТГ Строителей 24 П2 Э6 (чердак), АВ, SW128-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/16 --> НТГ Садовая 2 П3 Э6 (чердак), АВ, SW184-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/1 --> НТГ Садовая 2 П7 Э6 (чердак), АВ, SW148-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/16 --> НТГ Кулибина 62 стр.а П1 Э1 (коридор), АВ, SW164-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/7 --> НТГ Карла Маркса 66 П3 Э5 (чердак), АВ, SW124-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet11/8 --> НТГ Карла Маркса 66 П7 Э5 (чердак), АВ, SW123-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/16 --> НТГ Октябрьской Революции 46 П2 Э5 (чердак), АВ, SW054-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/32 --> НТГ Ленина 64 П1 Э6 ((хоз.комната)), АВ, SW250-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet3/9 --> НТГ Ленина 62 П4 Э6 (чердак), АВ, SW037-AR129-32.ntg, Ethernet1/25
15/РФ/2011, Etherline;Физический стык для получения сервисов от оператора; 1000 Мбит/c,  AR127-32.ntgGigabitEthernet11/34
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet13/8 --> НТГ Октябрьской Революции 27 П2 Э4 (чердак), АВ, SW173-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/13 --> НТГ Октябрьской Революции 29 П2 Э4 (чердак), АВ, SW084-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet4/6 --> НТГ Ленина 54 П2 Э5 (чердак), АВ, SW051-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/9 --> НТГ Ленина 52 П2 Э5 (чердак), АВ, SW080-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet2/6 --> НТГ Ленина 58 П2 Э5 (чердак), АВ, SW023-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/8 --> НТГ Мира 24 П1 Э1, АВ, SW166-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/7 --> НТГ Мира 28 П2 Э4 (чердак), АВ, SW098-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/8 --> НТГ Мира 22 П3 Э4 (чердак), АВ, SW097-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/17 --> НТГ Горошникова 70 П2 (чердак), АВ, SW249-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/27 --> НТГ Горошникова 72 П2 Э6 (чердак), АВ, SW217-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet2/1 --> НТГ Горошникова 76 П3 Э-1 (подвал), АВ, SW018-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/10 --> НТГ Горошникова 78 П3 Э-1 (подвал), АВ, SW198-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/13 --> НТГ Горошникова 88 П2 Э6 (чердак), АВ, SW201-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet13/6 --> НТГ Мира 7 П2 Э6 (чердак), АВ, SW171-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet5/13 --> НТГ Горошникова 84 П2 Э6 (чердак), АВ, SW067-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet13/47 --> НТГ Горошникова 86 П2 Э6 (чердак), АВ, SW241-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet9/10 --> НТГ Горошникова 80 П3 Э-1 (подвал), АВ, SW178-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/6 --> НТГ Горошникова 82 П3 Э-1 (подвал), АВ, SW007-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/4 --> НТГ Строителей 7 П2 Э6 (чердак), АВ, SW005-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet8/4 --> НТГ Строителей 11 П2 Э6 (чердак), АВ, SW108-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, GigabitEthernet11/26 --> НТГ Ленина 69 П2 Э5 (чердак), АВ, SW248-AR127-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/3 --> НТГ Строителей 10 П2 Э5 (чердак), АВ, SW004-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR127-32.ntg, FastEthernet1/13 --> НТГ Ленина 67 П1 Э6 (чердак), АВ, SW211-AR127-32.ntg, RMON:10/100 Port 24 on Unit 1
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet12/11 --> НТГ Строителей 8 П2 Э6 (чердак), АВ, SW158-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet6/2 --> НТГ Строителей 10 П8 Э6 (чердак), АВ, SW070-AR129-32.ntg, Ethernet1/25
НТГ Первомайская 35 П1 Э1 (квартира), РУА, AR129-32.ntg, GigabitEthernet1/2 --> НТГ Мира 11 П3 Э6 (чердак), АВ, SW003-AR129-32.ntg, Ethernet1/25
